team,payroll,year
Los Angeles Angels,105013667,2010
Seattle Mariners,98376667,2010
San Francisco Giants,97828833,2010
Minnesota Twins,97559167,2010
Los Angeles Dodgers,94945517,2010
St. Louis Cardinals,93540753,2010
Houston Astros,92355500,2010
Atlanta Braves,84423667,2010
Colorado Rockies,84227000,2010
Baltimore Orioles,81612500,2010
Milwaukee Brewers,81108279,2010
Cincinnati Reds,72386544,2010
Kansas City Royals,72267710,2010
Tampa Bay Rays,71923471,2010
Toronto Blue Jays,62689357,2010
Washington Nationals,61425000,2010
Cleveland Guardians,61203967,2010
Arizona Diamondbacks,60718167,2010
Miami Marlins,55641500,2010
Texas Rangers,55250545,2010
Oakland A’s,51654900,2010
San Diego Padres,37799300,2010
Pittsburgh Pirates,34943000,2010
New York Yankees,201449189,2009
New York Mets,149373987,2009
Chicago Cubs,134809000,2009
Boston Red Sox,121745999,2009
Detroit Tigers,115085145,2009
Los Angeles Angels,113709000,2009
Philadelphia Phillies,113004046,2009
Houston Astros,102996414,2009
Los Angeles Dodgers,100414592,2009
Seattle Mariners,98904166,2009
Atlanta Braves,96726166,2009
Chicago White Sox,96068500,2009
San Francisco Giants,82616450,2009
Cleveland Guardians,81579166,2009
Toronto Blue Jays,80538300,2009
Milwaukee Brewers,80182502,2009
St. Louis Cardinals,77605109,2009
Colorado Rockies,75201000,2009
Cincinnati Reds,73558500,2009
Arizona Diamondbacks,73516666,2009
Kansas City Royals,70519333,2009
Texas Rangers,68178798,2009
Baltimore Orioles,67101666,2009
Minnesota Twins,65299266,2009
Tampa Bay Rays,63313034,2009
Oakland A’s,62310000,2009
Washington Nationals,60328000,2009
Pittsburgh Pirates,48693000,2009
San Diego Padres,43734200,2009
Miami Marlins,36834000,2009
New York Yankees,209081577,2008
New York Mets,137793376,2008
Detroit Tigers,137685196,2008
Boston Red Sox,133390035,2008
Chicago White Sox,121189332,2008
Los Angeles Angels,119216333,2008
Los Angeles Dodgers,118588536,2008
Chicago Cubs,118345833,2008
Seattle Mariners,117666482,2008
Atlanta Braves,102365683,2008
St. Louis Cardinals,99624449,2008
Philadelphia Phillies,98269880,2008
Toronto Blue Jays,97793900,2008
Houston Astros,88930414,2008
Milwaukee Brewers,80937499,2008
Cleveland Guardians,78970066,2008
San Francisco Giants,76594500,2008
Cincinnati Reds,74117695,2008
San Diego Padres,73677616,2008
Colorado Rockies,68655500,2008
Texas Rangers,67712326,2008
Baltimore Orioles,67196246,2008
Arizona Diamondbacks,66202712,2008
Kansas City Royals,58245500,2008
Minnesota Twins,56932766,2008
Washington Nationals,54961000,2008
Pittsburgh Pirates,48689783,2008
Oakland A’s,47967126,2008
Tampa Bay Rays,43820597,2008
Miami Marlins,21811500,2008
New York Yankees,189259045,2007
Boston Red Sox,143026214,2007
New York Mets,115231663,2007
Los Angeles Angels,109251333,2007
Chicago White Sox,108671833,2007
Los Angeles Dodgers,108454524,2007
Seattle Mariners,106460833,2007
Chicago Cubs,99670332,2007
Detroit Tigers,94800369,2007
Baltimore Orioles,93174808,2007
St. Louis Cardinals,90286823,2007
San Francisco Giants,90219056,2007
Philadelphia Phillies,89428213,2007
Houston Astros,87759000,2007
Atlanta Braves,87290833,2007
Toronto Blue Jays,81942800,2007
Oakland A’s,79366940,2007
Minnesota Twins,71439500,2007
Milwaukee Brewers,70986500,2007
Cincinnati Reds,68524980,2007
Texas Rangers,68318675,2007
Kansas City Royals,67116500,2007
Cleveland Guardians,61673267,2007
San Diego Padres,58110567,2007
Colorado Rockies,54041000,2007
Arizona Diamondbacks,52067546,2007
Pittsburgh Pirates,38537833,2007
Washington Nationals,36947500,2007
Miami Marlins,30507000,2007
Tampa Bay Rays,24123500,2007
New York Yankees,194663079,2006
Boston Red Sox,120099824,2006
Los Angeles Angels,103472000,2006
Chicago White Sox,102750667,2006
New York Mets,101084963,2006
Los Angeles Dodgers,98447187,2006
Chicago Cubs,94424499,2006
Houston Astros,92551503,2006
Atlanta Braves,90156876,2006
San Francisco Giants,90056419,2006
St. Louis Cardinals,88891371,2006
Philadelphia Phillies,88273333,2006
Seattle Mariners,87959833,2006
Detroit Tigers,82612866,2006
Baltimore Orioles,72585582,2006
Toronto Blue Jays,71915000,2006
San Diego Padres,69896141,2006
Texas Rangers,68228662,2006
Minnesota Twins,63396006,2006
Washington Nationals,63143000,2006
Oakland A’s,62243079,2006
Cincinnati Reds,60909519,2006
Arizona Diamondbacks,59684226,2006
Milwaukee Brewers,57568333,2006
Cleveland Guardians,56031500,2006
Kansas City Royals,47294000,2006
Pittsburgh Pirates,46717750,2006
Colorado Rockies,41233000,2006
Tampa Bay Rays,35417967,2006
Miami Marlins,14998500,2006
New York Yankees,208306817,2005
Boston Red Sox,123505125,2005
New York Mets,101305821,2005
Los Angeles Angels,97725322,2005
Philadelphia Phillies,95522000,2005
St. Louis Cardinals,92106833,2005
San Francisco Giants,90199500,2005
Seattle Mariners,87754334,2005
Chicago Cubs,87032933,2005
Atlanta Braves,86457302,2005
Los Angeles Dodgers,83039000,2005
Houston Astros,76779000,2005
Chicago White Sox,75178000,2005
Baltimore Orioles,73914333,2005
Detroit Tigers,69092000,2005
San Diego Padres,63290833,2005
Arizona Diamondbacks,62329166,2005
Cincinnati Reds,61892583,2005
Miami Marlins,60408834,2005
Minnesota Twins,56186000,2005
Texas Rangers,55849000,2005
Oakland A’s,55425762,2005
Washington Nationals,48581500,2005
Colorado Rockies,48155000,2005
Toronto Blue Jays,45719500,2005
Cleveland Guardians,41502500,2005
Milwaukee Brewers,39934833,2005
Pittsburgh Pirates,38133000,2005
Kansas City Royals,36881000,2005
Tampa Bay Rays,29679067,2005
New York Yankees,184193950,2004
Boston Red Sox,127298500,2004
Los Angeles Angels,100534667,2004
New York Mets,96660970,2004
Philadelphia Phillies,93219167,2004
Los Angeles Dodgers,92902001,2004
Chicago Cubs,90560000,2004
Atlanta Braves,90182500,2004
St. Louis Cardinals,83228333,2004
San Francisco Giants,82019166,2004
Seattle Mariners,81515834,2004
Houston Astros,75397000,2004
Arizona Diamondbacks,69780750,2004
Colorado Rockies,65445167,2004
Chicago White Sox,65212500,2004
Oakland A’s,59425667,2004
San Diego Padres,55384833,2004
Texas Rangers,55050417,2004
Minnesota Twins,53585000,2004
Baltimore Orioles,51623333,2004
Toronto Blue Jays,50017000,2004
Kansas City Royals,47609000,2004
Detroit Tigers,46832000,2004
Cincinnati Reds,46615250,2004
Miami Marlins,42143042,2004
Montreal Expos,41197500,2004
Cleveland Guardians,34319300,2004
Pittsburgh Pirates,32227929,2004
Tampa Bay Rays,29556667,2004
Milwaukee Brewers,27528500,2004
New York Yankees,152749814,2003
New York Mets,117176429,2003
Atlanta Braves,106243667,2003
Los Angeles Dodgers,105872620,2003
Texas Rangers,103491667,2003
Boston Red Sox,99946500,2003
Seattle Mariners,86959167,2003
St. Louis Cardinals,83486666,2003
San Francisco Giants,82852167,2003
Arizona Diamondbacks,80640333,2003
Chicago Cubs,79868333,2003
Los Angeles Angels,79031667,2003
Baltimore Orioles,73877500,2003
Houston Astros,71040000,2003
Philadelphia Phillies,70780000,2003
Colorado Rockies,67179667,2003
Cincinnati Reds,59355667,2003
Minnesota Twins,55505000,2003
Pittsburgh Pirates,54812429,2003
Montreal Expos,51948500,2003
Toronto Blue Jays,51269000,2003
Chicago White Sox,51010000,2003
Oakland A’s,50260834,2003
Detroit Tigers,49168000,2003
Miami Marlins,49050000,2003
San Diego Padres,47928000,2003
Cleveland Guardians,45584834,2003
Milwaukee Brewers,40627000,2003
Kansas City Royals,40518000,2003
Tampa Bay Rays,19630000,2003
